epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1773.74,1.40838,0.68408,0.86818,0.79937,0.54423,0.63449,0.30477,1.67773,0.82141,0.97581,0.000569811,0.000569811,0.000569811
99,1798.65,1.3514,0.65264,0.86929,0.83156,0.53396,0.64049,0.30148,1.70141,0.81303,0.9802,0.000551337,0.000551337,0.000551337
100,1809.33,1.4036,0.66894,0.86595,0.80847,0.54916,0.63794,0.30563,1.67935,0.80506,0.97282,0.000533064,0.000533064,0.000533064
101,1817.91,1.36316,0.66118,0.8605,0.80006,0.54764,0.64042,0.30088,1.7039,0.81455,0.98753,0.000515,0.000515,0.000515
102,1849.37,1.37384,0.66228,0.86576,0.80525,0.55013,0.63353,0.29653,1.72137,0.81556,0.98601,0.000497153,0.000497153,0.000497153
103,1858.04,1.36086,0.65542,0.85888,0.79847,0.5472,0.63525,0.29946,1.71077,0.81081,0.98381,0.000479531,0.000479531,0.000479531
104,1881.84,1.36445,0.65402,0.85689,0.79319,0.55303,0.63544,0.2971,1.70392,0.81907,0.97783,0.000462142,0.000462142,0.000462142
105,1892.97,1.38498,0.66779,0.8605,0.81189,0.55474,0.64211,0.30298,1.70821,0.82609,0.98416,0.000444994,0.000444994,0.000444994
106,1916.72,1.36777,0.66287,0.8583,0.80551,0.55829,0.6442,0.30612,1.69906,0.82058,0.98057,0.000428093,0.000428093,0.000428093
107,1925.52,1.36224,0.64973,0.85841,0.81361,0.54587,0.63977,0.2972,1.72304,0.82638,0.98456,0.000411447,0.000411447,0.000411447
108,1982.82,1.38613,0.66456,0.86035,0.81193,0.54156,0.63143,0.30187,1.70139,0.8245,0.97878,0.000395064,0.000395064,0.000395064
109,2001.89,1.35075,0.64479,0.85496,0.80456,0.55119,0.64163,0.30875,1.6904,0.8346,0.97791,0.00037895,0.00037895,0.00037895
110,2011.58,1.31471,0.62772,0.85619,0.79439,0.55575,0.63876,0.3064,1.68317,0.82246,0.9768,0.000363114,0.000363114,0.000363114
111,2021.48,1.30363,0.62448,0.85564,0.81334,0.54991,0.63987,0.29954,1.71233,0.8212,0.98556,0.000347561,0.000347561,0.000347561
112,2049.34,1.32704,0.63306,0.85652,0.78884,0.55449,0.63833,0.30149,1.72165,0.81929,0.99001,0.000332298,0.000332298,0.000332298
113,2058.17,1.32921,0.6282,0.85491,0.80538,0.55601,0.64659,0.30927,1.69061,0.81841,0.98351,0.000317333,0.000317333,0.000317333
114,2066.7,1.28024,0.61556,0.85529,0.79065,0.56057,0.64221,0.30584,1.69252,0.81394,0.98332,0.000302672,0.000302672,0.000302672
115,2133.24,1.36115,0.65004,0.84889,0.79112,0.55879,0.64133,0.30095,1.70158,0.83052,0.98312,0.000288321,0.000288321,0.000288321
116,2141.95,1.31371,0.62486,0.85044,0.81952,0.55119,0.64597,0.30776,1.69101,0.81209,0.98404,0.000274287,0.000274287,0.000274287
117,2150.45,1.31091,0.62203,0.8533,0.79073,0.55195,0.6378,0.29672,1.72115,0.82356,0.98701,0.000260575,0.000260575,0.000260575
118,2159.05,1.28138,0.60362,0.84956,0.79411,0.56008,0.64264,0.30123,1.71302,0.81515,0.98956,0.000247192,0.000247192,0.000247192
119,2196.79,1.31578,0.62839,0.84866,0.81449,0.55297,0.64724,0.30807,1.70646,0.81281,0.98224,0.000234143,0.000234143,0.000234143
120,2209.4,1.34628,0.63753,0.85711,0.80053,0.55531,0.64049,0.29825,1.70729,0.80551,0.98295,0.000221435,0.000221435,0.000221435
121,2218.01,1.29233,0.62532,0.85256,0.80119,0.55373,0.64268,0.30273,1.71097,0.81976,0.98386,0.000209073,0.000209073,0.000209073
122,2242.02,1.33058,0.6334,0.84778,0.78071,0.56564,0.63885,0.29648,1.72136,0.8298,0.98385,0.000197062,0.000197062,0.000197062
123,2262.98,1.30028,0.61688,0.84807,0.79018,0.56817,0.64534,0.30205,1.70492,0.81476,0.98537,0.000185408,0.000185408,0.000185408
124,2312.24,1.32826,0.63684,0.84469,0.79004,0.56642,0.64322,0.30189,1.70149,0.80536,0.98836,0.000174115,0.000174115,0.000174115
125,2321.36,1.26657,0.60805,0.8449,0.80109,0.56442,0.6475,0.30459,1.70496,0.81002,0.98726,0.000163189,0.000163189,0.000163189
126,2336.77,1.29011,0.6121,0.84173,0.80896,0.56412,0.65162,0.31201,1.6955,0.80357,0.98583,0.000152635,0.000152635,0.000152635
127,2345.46,1.27486,0.61115,0.8465,0.80689,0.55322,0.64697,0.3036,1.71862,0.82019,0.98745,0.000142456,0.000142456,0.000142456
128,2356.78,1.27005,0.60904,0.84673,0.78487,0.56082,0.64163,0.29919,1.71948,0.82635,0.98799,0.000132658,0.000132658,0.000132658
129,2383.1,1.25679,0.59562,0.8448,0.80421,0.55905,0.65104,0.3081,1.70521,0.80993,0.99032,0.000123245,0.000123245,0.000123245
130,2413.96,1.28891,0.61564,0.84492,0.81953,0.55469,0.65186,0.30945,1.70154,0.81485,0.99053,0.000114221,0.000114221,0.000114221
131,2423.06,1.2843,0.60974,0.84873,0.81355,0.55398,0.64612,0.3073,1.70949,0.81328,0.99348,0.00010559,0.00010559,0.00010559
132,2447.74,1.29897,0.62313,0.84861,0.82351,0.55068,0.64529,0.30532,1.70565,0.81529,0.99293,9.73555e-05,9.73555e-05,9.73555e-05
133,2456.35,1.27593,0.60465,0.84022,0.81559,0.55143,0.64425,0.30196,1.71475,0.81751,0.99325,8.95213e-05,8.95213e-05,8.95213e-05
134,2464.97,1.2912,0.6126,0.84653,0.81566,0.55423,0.64815,0.30534,1.69868,0.81489,0.99205,8.20908e-05,8.20908e-05,8.20908e-05
135,2475.46,1.28548,0.60896,0.84349,0.81934,0.5555,0.64992,0.30694,1.70197,0.81926,0.99157,7.50674e-05,7.50674e-05,7.50674e-05
136,2485.01,1.29484,0.61603,0.83873,0.81262,0.55018,0.64449,0.30553,1.69727,0.8179,0.98822,6.8454e-05,6.8454e-05,6.8454e-05
137,2494.97,1.2254,0.58269,0.83967,0.81041,0.55355,0.64442,0.30523,1.70014,0.81756,0.98936,6.22537e-05,6.22537e-05,6.22537e-05
138,2503.56,1.23209,0.58388,0.84263,0.80967,0.55522,0.64598,0.30462,1.70599,0.81675,0.99088,5.64691e-05,5.64691e-05,5.64691e-05
139,2534.2,1.31669,0.62226,0.84145,0.81084,0.55729,0.64675,0.30612,1.69409,0.81431,0.98783,5.11027e-05,5.11027e-05,5.11027e-05
140,2558.72,1.2701,0.60542,0.8444,0.81469,0.55449,0.64774,0.30791,1.69229,0.81538,0.98742,4.61569e-05,4.61569e-05,4.61569e-05
141,2598.17,1.29395,0.62404,0.85224,0.80883,0.55575,0.64347,0.30549,1.69848,0.80744,0.99457,4.16339e-05,4.16339e-05,4.16339e-05
142,2630.31,1.23979,0.58616,0.84621,0.80141,0.55854,0.64101,0.30204,1.71381,0.80508,0.99953,3.75356e-05,3.75356e-05,3.75356e-05
143,2639.05,1.21403,0.5744,0.8457,0.79772,0.55398,0.63791,0.30176,1.71898,0.81111,1.00077,3.38639e-05,3.38639e-05,3.38639e-05
144,2647.56,1.25016,0.59158,0.84288,0.79462,0.55626,0.64014,0.30255,1.71464,0.81283,0.99958,3.06204e-05,3.06204e-05,3.06204e-05
145,2657.09,1.23913,0.58726,0.84504,0.7847,0.55854,0.63931,0.30198,1.71254,0.81404,0.99882,2.78064e-05,2.78064e-05,2.78064e-05
146,2667.59,1.21152,0.573,0.84146,0.79307,0.55361,0.63918,0.30204,1.71275,0.81551,1.00109,2.54233e-05,2.54233e-05,2.54233e-05
147,2676.18,1.2434,0.5868,0.84435,0.78823,0.55371,0.63793,0.30101,1.71939,0.81576,1.00306,2.34721e-05,2.34721e-05,2.34721e-05
148,2685.16,1.22544,0.58162,0.84085,0.78719,0.55474,0.63691,0.29969,1.72238,0.81675,1.00228,2.19535e-05,2.19535e-05,2.19535e-05
149,2694.7,1.2119,0.57483,0.84093,0.78291,0.55702,0.63763,0.30114,1.71691,0.81533,1.00047,2.08684e-05,2.08684e-05,2.08684e-05
150,2703.62,1.20891,0.57078,0.84104,0.79049,0.55753,0.63995,0.3027,1.71198,0.8139,0.99871,2.02171e-05,2.02171e-05,2.02171e-05
